SequenceID	Country	Specific Area	collection_date	date_cleaned
JN621242.1	USA	Madison, WI	26-Oct-1999	1999-10-26
JN205461.1	Australia		2002	2002-01-01
GQ323774.1	Australia		2003	2003-01-01
JF317016.1	China		Oct-2008	2008-10-01
JX074056.1	USA		2009	2009-01-01
KF734978.1	Malaysia		20-Oct-2010	2010-10-20
KP890662.1	Malaysia		23-Oct-2010	2010-10-23
KJ675507.1	Malaysia		07-Nov-2010	2010-11-07
OP342696.1	China	Hebei	27-Oct-2014	2014-10-27
MK989757.1	Kenya		25-Jul-2015	2015-07-25
KY348786.1	USA		2016	2016-01-01
KY369878.1	USA		2016	2016-01-01
MW587068.1	China		May-2016/Dec-2017	2016-05-01
MK520815.1	USA	CA	Oct-2016	2016-10-01
OP342702.1	China	Beijing	03-Mar-2017	2017-03-03
LC699425.1	Japan	Fukushima	2018	2018-01-01
OQ116581.1	USA		2019	2019-01-01
ON311156.1	USA		10-Aug-2020	2020-08-10
ON311180.1	USA		28-Nov-2020	2020-11-28
MZ268691.1	USA		2021	2021-01-01
MZ460691.1	USA		2021	2021-01-01
OK017949.1	USA		2021	2021-01-01
OK649386.1	USA		2021	2021-01-01
ON311177.1	USA		28-Jan-2021	2021-01-28
ON311176.1	USA		29-Jan-2021	2021-01-29
ON311179.1	USA		29-Jan-2021	2021-01-29
ON311175.1	USA		06-Feb-2021	2021-02-06
MW969524.1	USA		22-Feb-2021	2021-02-22
MW969527.1	USA		22-Feb-2021	2021-02-22
MW969536.1	USA		23-Feb-2021	2021-02-23
ON311155.1	USA		08-Mar-2021	2021-03-08
MZ363453.1	USA		08-Apr-2021	2021-04-08
PP158745.1	USA	WA	13-Apr-2021	2021-04-13
MZ268717.1	USA		21-Apr-2021	2021-04-21
MZ268706.1	USA		03-May-2021	2021-05-03
MZ322915.1	USA		03-May-2021	2021-05-03
MZ363437.1	USA		04-May-2021	2021-05-04
MZ427505.1	USA		11-May-2021	2021-05-11
OL961524.1	USA		12-May-2021	2021-05-12
OK017918.1	USA		25-May-2021	2021-05-25
OL961531.1	USA		27-May-2021	2021-05-27
MZ629145.1	USA		01-Jun-2021	2021-06-01
MZ670576.1	USA		09-Jun-2021	2021-06-09
OK161367.1	USA		14-Jun-2021	2021-06-14
OK161371.1	USA		14-Jun-2021	2021-06-14
OK161404.1	USA		15-Jun-2021	2021-06-15
OK539509.1	USA		14-Jul-2021	2021-07-14
PP194066.1	USA	WA	23-Nov-2022	2022-11-23
PP187406.1	USA	WA	04-Jan-2023	2023-01-04
PV178322.1	USA	Massachusetts	2023-10-16	2023-10-16
PP314216.1	USA	Gainesville	25-Oct-2023	2023-10-25
PV178503.1	USA	Massachusetts	2023-11-21	2023-11-21
PV178487.1	USA	Massachusetts	2023-11-24	2023-11-24
PV178494.1	USA	Massachusetts	2023-11-24	2023-11-24
PV178470.1	USA	Massachusetts	2023-11-26	2023-11-26
PV178551.1	USA	Massachusetts	2023-11-26	2023-11-26
PV178585.1	USA	Massachusetts	2023-11-26	2023-11-26
PV178348.1	USA	Massachusetts	2023-12-05	2023-12-05
PV178619.1	USA	Massachusetts	2023-12-05	2023-12-05
PV178458.1	USA	Massachusetts	2024-07-02	2024-07-02
PV178608.1	USA	Massachusetts	2024-10-07	2024-10-07
PV178548.1	USA	Massachusetts	2024-10-08	2024-10-08
PV178386.1	USA	Massachusetts	2024-10-10	2024-10-10
PV178591.1	USA	Massachusetts	2024-10-19	2024-10-19
PV178425.1	USA	Massachusetts	2024-10-22	2024-10-22
PV178222.1	USA	Massachusetts	2024-11-16	2024-11-16
PV178207.1	USA	Massachusetts	2024-11-24	2024-11-24
EF582387.1	Hong Kong		NA	NA
PP194042.1	NA		NA	NA
DQ875932.2	USA	New York	NA	NA
