"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
"100287102",9.38256395464745,-0.815526077144265,0.457774590299515,-1.78150140795425,0.0748305750851123,0.151226752097086,"100287102","DDX11L1"
"653635",533.753587984971,-0.643582889162848,0.337331496130364,-1.90786480523043,0.0564086921648805,0.120970791792377,"653635","WASH7P"
"102466751",9.51680751363737,-0.765887024662231,0.468109035331,-1.63612954857979,0.101812477180394,0.193691997345358,"102466751","MIR6859-1"
"107985730",0.582690717965442,-1.85509201747153,1.71074168269349,-1.08437880262014,0.278196878349504,NA,"107985730","MIR1302-2HG"
"645520",0.299214347034082,-0.57812167051582,2.53173670568449,-0.228349839546019,0.819374281512333,NA,"645520","FAM138A"
"79501",1.00655670192296,0.231121820377846,1.56382294653991,0.147792830952648,0.882506267276651,NA,"79501","OR4F5"
"100996442",105.741320955265,-0.159946568736278,0.234972551371168,-0.680703204705909,0.496059308138593,0.638386015487772,"100996442","WASH9P"
"729737",458.406180151592,-0.766053747235581,0.324020880040567,-2.36421105682964,0.0180685157293609,0.0472944180677871,"729737","LOC729737"
"102725121",8.33921580663157,-1.06954235793733,0.53021895661624,-2.01717110373222,0.0436776604919637,0.0981629907889963,"102725121","DDX11L17"
"102723897",588.675213020952,-0.623425864792519,0.348774561452111,-1.78747515930321,0.0738607235008839,0.149578406470385,"102723897","LOC102723897"
"102465909",9.50113469354904,-0.795293083975268,0.499905920913053,-1.59088550606223,0.111635344996987,0.208350773365258,"102465909","MIR6859-2"
"107985721",0.918551938459075,-0.314739363401669,1.31550349154184,-0.239253917169599,0.81090869653954,NA,"107985721",NA
"112268260",32.8601866270972,-0.309361057812861,0.266922979749595,-1.15898997569665,0.246460271126972,0.383666487332137,"112268260","LOC112268260"
"100132287",234.181776975453,-0.478760069259429,0.290242598758443,-1.64951689141221,0.0990417855827059,0.189651536281962,"100132287","LOC100132287"
"105378947",2.53426676885929,-0.218265037892788,0.761237490677497,-0.286723973222251,0.77432367997734,0.858806086340107,"105378947","LOC105378947"
