"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Rhinovirus","GO:0009615","response to virus","83/327","425/18986",0.195294117647059,11.3390034178809,28.5369433608183,4.25420490225083e-64,1.05296104488021e-60,7.77244542257782e-61,"IFIT1/IFIT3/IFI44L/IFI44/OASL/RSAD2/OAS2/DTX3L/RIGI/IFIT2/IFIH1/SHFL/ISG15/NT5C3A/ACOD1/HERC5/MX1/IRF7/MX2/OAS1/EIF2AK2/STAT2/BST2/GBP1/IFIT5/CCL8/PARP9/USP18/ZC3HAV1/PML/STAT1/GBP5/CXCL10/DDX60/OAS3/IFI27/GBP2/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/IFI6/APOBEC3G/ZC3H12A/IRF1/IFNB1/UNC93B1/MOV10/CGAS/AIM2/IFI16/DDX60L/NLRC5/NMI/DHX58/PLSCR1/JAK2/ZNFX1/RTP4/TRIM6/IL15/TREX1/TRIM56/CCL19/IL6/IRF9/APOBEC3F/CD40/TNFAIP3/IFITM2/PSMA2/LILRB1/MYD88/MLKL/GBP7/CCL4/IL27/TLR3/IKBKE/CXCR4/CASP1",83
"Rhinovirus","GO:0051607","defense response to virus","75/327","320/18986",0.234375,13.6080848623853,30.1115753016395,5.57269671807466e-64,1.05296104488021e-60,7.77244542257782e-61,"IFIT1/IFIT3/IFI44L/OASL/RSAD2/OAS2/DTX3L/RIGI/IFIT2/IFIH1/SHFL/ISG15/NT5C3A/ACOD1/HERC5/MX1/IRF7/MX2/OAS1/EIF2AK2/STAT2/BST2/GBP1/IFIT5/PARP9/USP18/ZC3HAV1/PML/STAT1/GBP5/CXCL10/DDX60/OAS3/IFI27/GBP2/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/IFI6/APOBEC3G/ZC3H12A/IRF1/IFNB1/UNC93B1/MOV10/CGAS/AIM2/IFI16/DDX60L/NLRC5/DHX58/PLSCR1/ZNFX1/RTP4/TRIM6/IL15/TREX1/TRIM56/IL6/IRF9/APOBEC3F/CD40/TNFAIP3/IFITM2/LILRB1/MYD88/MLKL/GBP7/IL27/TLR3/IKBKE/CASP1",75
"Rhinovirus","GO:0045088","regulation of innate immune response","59/327","470/18986",0.125531914893617,7.28852885678964,18.2750845867157,7.60984318540909e-34,9.58586579922032e-31,7.07581910222249e-31,"OASL/RSAD2/IFI35/RIGI/IFIH1/ISG15/ACOD1/IRF7/OAS1/EIF2AK2/STAT2/CALHM6/PARP9/USP18/ZC3HAV1/GBP5/DDX60/OAS3/PARP14/GBP2/TNF/TRIM5/TRIM25/TRIM21/IRF1/IFNB1/UNC93B1/CGAS/AIM2/IFI16/NLRC5/RNF125/NMI/DHX58/PLSCR1/HSPA1B/MAP2K6/ZNFX1/TRIM6/CD274/TRAFD1/NCF1/TREX1/HSPA1A/TRIM56/NFKBIZ/BIRC3/MEFV/TNFAIP3/SERPINB9/APPL2/LILRB1/MYD88/TLR3/NOD2/IKBKE/FFAR2/NFKBIA/CASP1",59
"Rhinovirus","GO:0048525","negative regulation of viral process","30/327","99/18986",0.303030303030303,17.5942915392457,21.9144117649103,2.24957409750883e-29,2.12528512862147e-26,1.56878193642063e-26,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/ZC3HAV1/STAT1/TRIM14/OAS3/IFITM1/TNF/TRIM5/TRIM25/TRIM21/APOBEC3G/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/LY6E/IFITM2",30
"Rhinovirus","GO:0050792","regulation of viral process","36/327","173/18986",0.208092485549133,12.0820915309964,19.3843280683016,1.10758384208882e-28,8.37111867850733e-26,6.17915196112712e-26,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/DYNLT1/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/ZC3HAV1/STAT1/TRIM14/OAS3/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/APOBEC3G/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/AXL/LY6E/IFITM2/LAMP3/GBP7/CXCR4",36
"Rhinovirus","GO:0045089","positive regulation of innate immune response","49/327","387/18986",0.126614987080103,7.35141328655303,16.7115238549674,2.7703864731649e-28,1.64972915850596e-25,1.21774968873436e-25,"OASL/RSAD2/IFI35/RIGI/IFIH1/ACOD1/IRF7/OAS1/EIF2AK2/PARP9/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM5/TRIM25/IRF1/IFNB1/UNC93B1/CGAS/AIM2/IFI16/NLRC5/RNF125/NMI/DHX58/PLSCR1/HSPA1B/MAP2K6/ZNFX1/TRIM6/CD274/TREX1/HSPA1A/TRIM56/NFKBIZ/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/TLR3/NOD2/IKBKE/FFAR2/NFKBIA/CASP1",49
"Rhinovirus","GO:0045071","negative regulation of viral genome replication","24/327","55/18986",0.436363636363636,25.3357798165138,23.9262606219931,3.05586242644661e-28,1.64972915850596e-25,1.21774968873436e-25,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/ZC3HAV1/OAS3/IFITM1/TNF/APOBEC3G/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/IFITM2",24
"Rhinovirus","GO:0016032","viral process","51/327","452/18986",0.11283185840708,6.55114881870585,15.8125715301781,5.0113863289496e-27,2.36725361713757e-24,1.74739128575216e-24,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/DYNLT1/ISG15/MX1/IRF7/OAS1/EIF2AK2/BST2/IFIT5/CCL8/PARP9/ZC3HAV1/STAT1/SIGLEC1/TRIM14/OAS3/IFI27/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/APOBEC3G/ZC3H12A/IFNB1/IFI16/PLSCR1/HSPA1B/CD80/ZNFX1/TRIM6/MVB12B/HSPA1A/SLAMF1/APOBEC3F/CCL1/AXL/LY6E/IFITM2/LAMP3/GBP7/CCL4/PARP10/CXCR4/CCL2",51
"Rhinovirus","GO:0002833","positive regulation of response to biotic stimulus","49/327","416/18986",0.117788461538462,6.83893495648083,15.940771832229,7.85165820165693e-27,3.29682403822906e-24,2.43355488121531e-24,"OASL/RSAD2/IFI35/RIGI/IFIH1/ACOD1/IRF7/OAS1/EIF2AK2/PARP9/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM5/TRIM25/IRF1/IFNB1/UNC93B1/CGAS/AIM2/IFI16/NLRC5/RNF125/NMI/DHX58/PLSCR1/HSPA1B/MAP2K6/ZNFX1/TRIM6/CD274/TREX1/HSPA1A/TRIM56/NFKBIZ/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/TLR3/NOD2/IKBKE/FFAR2/NFKBIA/CASP1",49
"Rhinovirus","GO:0019058","viral life cycle","44/327","323/18986",0.136222910216718,7.90926046903551,16.5797162299804,8.86072785809163e-27,3.34846905757283e-24,2.47167671830977e-24,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/DYNLT1/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/CCL8/ZC3HAV1/SIGLEC1/OAS3/IFI27/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/APOBEC3G/ZC3H12A/IFNB1/IFI16/PLSCR1/HSPA1B/CD80/ZNFX1/TRIM6/MVB12B/HSPA1A/SLAMF1/APOBEC3F/AXL/LY6E/IFITM2/LAMP3/GBP7/CXCR4/CCL2",44
