SequenceID	Country	Specific.Area	collection_date	date_cleaned	year	mutations	years_since
KY348786.1	USA		2016	2016-01-01	2016	0	0
KY369878.1	USA		2016	2016-01-01	2016	1992	0
MK520815.1	USA	CA	Oct-2016	2016-10-01	2016	48	0
OQ116581.1	USA		2019	2019-01-01	2019	1755	3
ON311156.1	USA		10-Aug-2020	2020-08-10	2020	1996	4
ON311180.1	USA		28-Nov-2020	2020-11-28	2020	2015	4
MZ268691.1	USA		2021	2021-01-01	2021	2082	5
MZ460691.1	USA		2021	2021-01-01	2021	2089	5
OK017949.1	USA		2021	2021-01-01	2021	2075	5
OK649386.1	USA		2021	2021-01-01	2021	2004	5
ON311177.1	USA		28-Jan-2021	2021-01-28	2021	1751	5
ON311176.1	USA		29-Jan-2021	2021-01-29	2021	1751	5
ON311179.1	USA		29-Jan-2021	2021-01-29	2021	2013	5
ON311175.1	USA		06-Feb-2021	2021-02-06	2021	1752	5
MW969524.1	USA		22-Feb-2021	2021-02-22	2021	2082	5
MW969527.1	USA		22-Feb-2021	2021-02-22	2021	2012	5
MW969536.1	USA		23-Feb-2021	2021-02-23	2021	1748	5
ON311155.1	USA		08-Mar-2021	2021-03-08	2021	2010	5
MZ363453.1	USA		08-Apr-2021	2021-04-08	2021	2071	5
PP158745.1	USA	WA	13-Apr-2021	2021-04-13	2021	2109	5
MZ268717.1	USA		21-Apr-2021	2021-04-21	2021	2092	5
MZ268706.1	USA		03-May-2021	2021-05-03	2021	2034	5
MZ322915.1	USA		03-May-2021	2021-05-03	2021	2019	5
MZ363437.1	USA		04-May-2021	2021-05-04	2021	1998	5
MZ427505.1	USA		11-May-2021	2021-05-11	2021	2088	5
OL961524.1	USA		12-May-2021	2021-05-12	2021	1756	5
OK017918.1	USA		25-May-2021	2021-05-25	2021	2016	5
OL961531.1	USA		27-May-2021	2021-05-27	2021	1753	5
MZ629145.1	USA		01-Jun-2021	2021-06-01	2021	2010	5
MZ670576.1	USA		09-Jun-2021	2021-06-09	2021	2032	5
OK161367.1	USA		14-Jun-2021	2021-06-14	2021	2069	5
OK161371.1	USA		14-Jun-2021	2021-06-14	2021	2072	5
OK161404.1	USA		15-Jun-2021	2021-06-15	2021	1997	5
OK539509.1	USA		14-Jul-2021	2021-07-14	2021	2038	5
PP194066.1	USA	WA	23-Nov-2022	2022-11-23	2022	2052	6
PP187406.1	USA	WA	04-Jan-2023	2023-01-04	2023	2040	7
PV178322.1	USA	Massachusetts	2023-10-16	2023-10-16	2023	2013	7
PP314216.1	USA	Gainesville	25-Oct-2023	2023-10-25	2023	610	7
PV178503.1	USA	Massachusetts	2023-11-21	2023-11-21	2023	2036	7
PV178487.1	USA	Massachusetts	2023-11-24	2023-11-24	2023	2020	7
PV178494.1	USA	Massachusetts	2023-11-24	2023-11-24	2023	602	7
PV178470.1	USA	Massachusetts	2023-11-26	2023-11-26	2023	2006	7
PV178551.1	USA	Massachusetts	2023-11-26	2023-11-26	2023	2025	7
PV178585.1	USA	Massachusetts	2023-11-26	2023-11-26	2023	2018	7
PV178348.1	USA	Massachusetts	2023-12-05	2023-12-05	2023	2008	7
PV178619.1	USA	Massachusetts	2023-12-05	2023-12-05	2023	2036	7
PV178458.1	USA	Massachusetts	2024-07-02	2024-07-02	2024	2008	8
PV178608.1	USA	Massachusetts	2024-10-07	2024-10-07	2024	2071	8
PV178548.1	USA	Massachusetts	2024-10-08	2024-10-08	2024	2059	8
PV178386.1	USA	Massachusetts	2024-10-10	2024-10-10	2024	2046	8
PV178591.1	USA	Massachusetts	2024-10-19	2024-10-19	2024	2043	8
PV178425.1	USA	Massachusetts	2024-10-22	2024-10-22	2024	611	8
PV178222.1	USA	Massachusetts	2024-11-16	2024-11-16	2024	2022	8
PV178207.1	USA	Massachusetts	2024-11-24	2024-11-24	2024	2048	8
