Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
NC_038878.1	Human rhinovirus NAT001	RefSeq	GCF_002816885.1	Kistler,A., Avila,P.C., Rouskin,S., Wang,D., Ward,T., Yagi,S., Schnurr,D., Ganem,D., DeRisi,J.L., Boushey,H.A., Kistler,A.L., Schnurr,D.P.	National Center for Biotechnology Information, NIH	USA	2018-08-24	NAT001	Rhinovirus C	6944	complete					oronasopharynx	2001-11-15
NC_009996.1	Rhinovirus C	RefSeq	GCF_000872325.1	Lau,S.K., Yip,C.C., Tsoi,H.W., Lee,R.A., So,L.Y., Lau,Y.L., Chan,K.H., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Yip,C.C.Y., Woo,P.C.Y.	National Center for Biotechnology Information, NIH	USA	2007-11-20		Rhinovirus C	7099	complete	Hong Kong	Hong Kong			oronasopharynx	
PQ628106.1	Rhinovirus C41	GenBank		Ksenafontov,A.D., Fadeev,A.V., Geshko,S.A., Korzhanova,M.M., Musaeva,T.D., Eder,V.A., Pisareva,M.M., Danilenko,D.M., Lioznov,D.A., Komissarov,A.B.	Smorodintsev Research Institute of Influenza, Department of Etiology and Epidemiology	Russia	2025-01-20	RV-C41/Russia/SPE-RII-4320/2019	Rhinovirus C	7070	complete	Russia: Saint Petersburg	Russia		Homo sapiens	oronasopharynx	2019-08-16
PQ602524.1	rhinovirus C42	GenBank		Ksenafontov,A.D., Fadeev,A.V., Geshko,S.A., Korzhanova,M.M., Musaeva,T.D., Eder,V.A., Pisareva,M.M., Danilenko,D.M., Lioznov,D.A., Komissarov,A.B.	Smorodintsev Research Institute of Influenza, Department of Etiology and Epidemiology	Russia	2025-01-05	RV-C42/Russia/SPE-RII-22151/2023	Rhinovirus C	7100	complete	Russia: Saint Petersburg	Russia		Homo sapiens	oronasopharynx	2023-06-26
PQ602525.1	rhinovirus C42	GenBank		Ksenafontov,A.D., Fadeev,A.V., Geshko,S.A., Korzhanova,M.M., Musaeva,T.D., Eder,V.A., Pisareva,M.M., Danilenko,D.M., Lioznov,D.M., Komissarov,A.B.	Smorodintsev Research Institute of Influenza, Department of Etiology and Epidemiology	Russia	2025-01-05	RV-C42/Russia/SPE-RII-17612/2023	Rhinovirus C	7098	complete	Russia: Saint Petersburg	Russia		Homo sapiens	oronasopharynx	2023-04-24
PP991503.1	Rhinovirus C	GenBank		Schmidt,K., Pollett,S.D., Richard,S.A., Hogan,V., Hone,E., Rothenberg,J., Tant,R., Wayman,M., Friend,C., Thapa,K., Ulomi,L., Davies,J., Michel,A., Burgess,T.H., O'Connell,R.J., Simons,M.P., Tilley,D.H., Fries,A.C., Colombo,R.E.	Air Force Research Laboratory, 711th Human Performance Wing	USA	2024-07-14	HRV-C42/USA/MD-ARIA-07388/2023	Rhinovirus C	7106	complete	USA: Maryland	USA	MD	Homo sapiens	oronasopharynx	2023-03
PP991504.1	Rhinovirus C	GenBank		Schmidt,K., Pollett,S.D., Richard,S.A., Hogan,V., Hone,E., Rothenberg,J., Tant,R., Wayman,M., Friend,C., Thapa,K., Ulomi,L., Davies,J., Michel,A., Burgess,T.H., O'Connell,R.J., Simons,M.P., Tilley,D.H., Fries,A.C., Colombo,R.E.	Air Force Research Laboratory, 711th Human Performance Wing	USA	2024-07-14	HRV-C42/USA/MD-ARIA-07406/2023	Rhinovirus C	7106	complete	USA: Maryland	USA	MD	Homo sapiens	oronasopharynx	2023-03
PP314216.1	rhinovirus C32	GenBank		Moquin,T.L., Subramaniam,K., Lednicky,J.A.	University of Florida - Gainesville, Environmental and Global Health	USA	2024-02-17		Rhinovirus C	7033	complete	USA: Gainesville	USA		Homo sapiens	oronasopharynx	2023-10-25
OR726585.1	rhinovirus C17	GenBank		Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Medicine Laboratory Medicine and Pathology, Virology Division	USA	2023-11-12		Rhinovirus C	7044	complete	USA: WA	USA	WA	Homo sapiens	oronasopharynx	2020-11
OR726586.1	rhinovirus C17	GenBank		Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Medicine Laboratory Medicine and Pathology, Virology Division	USA	2023-11-12		Rhinovirus C	7041	complete	USA: WA	USA	WA	Homo sapiens	oronasopharynx	2020-11
