UMAP1	UMAP2	Strain	Country	Specific.Area	collection_date	date_cleaned	year
4.48455548217451	9.49404385354784	PV178425.1	USA	Massachusetts	2024-10-22	2024-10-22	2024
4.01495146682417	9.90103485849169	PV178494.1	USA	Massachusetts	2023-11-24	2023-11-24	2023
4.13218712737715	10.0877938535478	PP314216.1	USA	Gainesville	25-Oct-2023	2023-10-25	2023
4.56379771163618	10.4518838193682	MK520815.1	USA	CA	Oct-2016	2016-10-01	2016
4.84687638213789	9.93270828988817	KY348786.1	USA		2016	2016-01-01	2016
6.3959348194853	10.4712825086382	OQ116581.1	USA		2019	2019-01-01	2019
6.01040244033491	11.6063533094194	MW969536.1	USA		23-Feb-2021	2021-02-23	2021
5.5781161778227	11.2483344342973	OL961524.1	USA		12-May-2021	2021-05-12	2021
5.44506335189497	11.2783322599199	OL961531.1	USA		27-May-2021	2021-05-27	2021
6.10957980086958	10.8985276487139	ON311176.1	USA		29-Jan-2021	2021-01-29	2021
6.38485121658003	11.3235326078203	ON311175.1	USA		06-Feb-2021	2021-02-06	2021
5.7404983036772	10.8058800962236	ON311177.1	USA		28-Jan-2021	2021-01-28	2021
-4.5152424580797	22.2528090741899	KY369878.1	USA		2016	2016-01-01	2016
-3.30533203551615	21.7365050580766	ON311156.1	USA		10-Aug-2020	2020-08-10	2020
-4.09392225811327	22.6061740186479	OK161404.1	USA		15-Jun-2021	2021-06-15	2021
-3.74491840669954	22.6534915235307	MZ363437.1	USA		04-May-2021	2021-05-04	2021
-4.33147311279619	21.498206641939	MZ629145.1	USA		01-Jun-2021	2021-06-01	2021
-3.94157457420671	21.8752837446001	ON311155.1	USA		08-Mar-2021	2021-03-08	2021
-3.69773280689562	21.9022422101763	OK649386.1	USA		2021	2021-01-01	2021
-17.0959675318941	-25.5086941454146	MZ670576.1	USA		09-Jun-2021	2021-06-09	2021
-18.2977936274751	-25.6612343523237	OK539509.1	USA		14-Jul-2021	2021-07-14	2021
-18.0376322276338	-25.6571984026167	PV178503.1	USA	Massachusetts	2023-11-21	2023-11-21	2023
-17.437206507419	-25.3453278276655	PV178619.1	USA	Massachusetts	2023-12-05	2023-12-05	2023
-17.9419062144502	-25.2547592851851	MZ268706.1	USA		03-May-2021	2021-05-03	2021
-17.2367603785738	-24.734968635771	PV178222.1	USA	Massachusetts	2024-11-16	2024-11-16	2024
-22.1076776988252	22.8344073560503	PV178348.1	USA	Massachusetts	2023-12-05	2023-12-05	2023
9.25899100234663	4.57578661706713	ON311179.1	USA		29-Jan-2021	2021-01-29	2021
-21.8641169078096	22.7726416852739	PV178322.1	USA	Massachusetts	2023-10-16	2023-10-16	2023
-3.15235703507507	22.353768852022	PP187406.1	USA	WA	04-Jan-2023	2023-01-04	2023
9.9675319187895	3.86729672220018	ON311180.1	USA		28-Nov-2020	2020-11-28	2020
9.72246241500532	4.11341836717394	MW969527.1	USA		22-Feb-2021	2021-02-22	2021
-21.189518213962	22.9493689801958	PV178458.1	USA	Massachusetts	2024-07-02	2024-07-02	2024
-21.7472326762422	22.3908515241411	PV178585.1	USA	Massachusetts	2023-11-26	2023-11-26	2023
12.4994428150908	-18.7611946794722	PV178591.1	USA	Massachusetts	2024-10-19	2024-10-19	2024
12.7182834141508	-19.242516014311	PV178207.1	USA	Massachusetts	2024-11-24	2024-11-24	2024
-21.2929022319063	22.4235396650102	PV178470.1	USA	Massachusetts	2023-11-26	2023-11-26	2023
13.0121190541044	-18.5834450456831	PV178386.1	USA	Massachusetts	2024-10-10	2024-10-10	2024
9.57965826919233	4.25447919633653	OK017918.1	USA		25-May-2021	2021-05-25	2021
10.0814664356962	3.74779036309984	MZ322915.1	USA		03-May-2021	2021-05-03	2021
-17.66468834946	-24.6650795671675	PV178551.1	USA	Massachusetts	2023-11-26	2023-11-26	2023
13.7501027577177	-20.5433773729536	MZ363453.1	USA		08-Apr-2021	2021-04-08	2021
-20.864977122043	22.690101173189	PV178487.1	USA	Massachusetts	2023-11-24	2023-11-24	2023
13.5747449391142	-21.1307129595015	OK161371.1	USA		14-Jun-2021	2021-06-14	2021
12.0403935902373	-21.5902847978804	MZ460691.1	USA		2021	2021-01-01	2021
11.5442244999663	-21.4200806352827	MZ268691.1	USA		2021	2021-01-01	2021
11.5414006703154	-22.00016257498	MW969524.1	USA		22-Feb-2021	2021-02-22	2021
12.3440492146269	-21.5223107073042	MZ268717.1	USA		21-Apr-2021	2021-04-21	2021
11.9594657414213	-20.9758667680952	MZ427505.1	USA		11-May-2021	2021-05-11	2021
-21.4699366099581	23.3453154828813	PP194066.1	USA	WA	23-Nov-2022	2022-11-23	2022
14.1463601582304	-21.111698600981	PV178608.1	USA	Massachusetts	2024-10-07	2024-10-07	2024
13.4557912342802	-20.3652348253462	PP158745.1	USA	WA	13-Apr-2021	2021-04-13	2021
12.9577882282988	-19.2059712145064	PV178548.1	USA	Massachusetts	2024-10-08	2024-10-08	2024
13.1166665547148	-20.7332405779097	OK161367.1	USA		14-Jun-2021	2021-06-14	2021
14.0531117909208	-20.3298268053267	OK017949.1	USA		2021	2021-01-01	2021
